NumRoom,Price,NumBathroom,NumParkingSpots,BuildingArea,Suburb_encoded,TypeOfHome_encoded
2,1480000.0,1.0,1.0,77.53939266078314,0,0
2,1035000.0,1.0,0.0,79.0,0,0
3,1465000.0,2.0,0.0,150.0,0,0
3,850000.0,2.0,1.0,170.4480219556041,0,0
4,1600000.0,1.0,2.0,142.0,0,0
2,941000.0,1.0,0.0,77.53939266078314,0,0
3,1876000.0,2.0,0.0,210.0,0,0
2,1636000.0,1.0,2.0,107.0,0,0
1,300000.0,1.0,1.0,27.939335684495248,0,2
2,1097000.0,1.0,2.0,75.0,0,0
2,700000.0,2.0,1.0,120.8479649793162,0,2
3,1350000.0,2.0,2.0,190.0,0,0
2,750000.0,2.0,1.0,94.0,0,2
2,1172500.0,1.0,1.0,77.53939266078314,0,0
1,441000.0,1.0,1.0,27.939335684495248,0,2
2,1310000.0,1.0,2.0,97.0,0,0
3,1200000.0,2.0,1.0,110.0,0,0
3,1176500.0,1.0,1.0,105.0,0,0
3,955000.0,1.0,0.0,127.13944963707104,0,0
2,890000.0,1.0,1.0,73.0,0,0
4,1330000.0,2.0,2.0,135.0,0,0
3,900000.0,2.0,2.0,170.4480219556041,0,1
3,1090000.0,2.0,2.0,27.0,0,2
2,500000.0,1.0,1.0,60.0,0,2
2,1100000.0,2.0,1.0,135.0,0,0
2,1315000.0,1.0,0.0,85.0,0,0
1,426000.0,1.0,1.0,27.939335684495248,0,2
3,1447500.0,3.0,1.0,174.0,0,0
1,457000.0,1.0,1.0,50.0,0,2
2,1135000.0,2.0,2.0,128.0,0,0
4,1542000.0,3.0,1.0,263.356651250425,0,0
3,1290000.0,2.0,2.0,18.0,0,0
3,1290000.0,1.0,1.0,124.0,0,0
1,470000.0,1.0,1.0,50.0,0,2
2,1180000.0,1.0,0.0,91.0,0,0
3,1195000.0,2.0,1.0,128.0,0,0
2,1012500.0,1.0,0.0,82.0,0,0
2,1030000.0,1.0,1.0,81.0,0,0
3,840000.0,2.0,1.0,225.0,2,1
3,730000.0,2.0,1.0,145.0,2,0
3,770000.0,2.0,1.0,145.0,2,0
2,603000.0,1.0,1.0,84.0,2,0
3,700000.0,2.0,2.0,134.0,2,1
3,600000.0,1.0,1.0,116.0,2,0
2,500000.0,1.0,1.0,86.0,2,2
3,720000.0,1.0,1.0,127.13944963707104,2,0
4,785000.0,1.0,2.0,127.0,2,0
6,725000.0,3.0,2.0,186.0,2,0
2,450000.0,1.0,1.0,90.0,2,1
2,515000.0,1.0,1.0,73.0,2,2
2,530000.0,1.0,1.0,94.0,2,2
3,895000.0,1.0,6.0,133.0,2,0
3,805000.0,1.0,1.0,105.0,2,0
3,752000.0,1.0,1.0,130.0,2,2
2,440000.0,1.0,1.0,77.53939266078314,2,2
5,755000.0,2.0,2.0,269.64813590817994,2,0
3,700000.0,2.0,2.0,133.0,2,1
3,830000.0,1.0,2.0,113.0,2,0
2,462500.0,1.0,1.0,77.53939266078314,2,2
3,670000.0,2.0,2.0,170.4480219556041,2,0
2,675000.0,1.0,1.0,100.0,2,0
3,1042000.0,2.0,5.0,174.0,2,0
3,910000.0,1.0,1.0,127.13944963707104,2,0
4,773000.0,3.0,4.0,309.0,2,0
3,810000.0,3.0,2.0,192.0,2,0
3,715000.0,2.0,2.0,126.0,2,0
3,790000.0,1.0,3.0,127.13944963707104,2,0
3,540000.0,2.0,1.0,101.0,2,1
3,825000.0,2.0,1.0,102.0,2,1
3,685000.0,1.0,1.0,113.0,2,0
3,805000.0,1.0,1.0,127.13944963707104,2,0
2,510000.0,1.0,1.0,76.0,2,2
3,612000.0,2.0,1.0,170.4480219556041,2,0
3,662000.0,1.0,2.0,127.13944963707104,2,0
4,978000.0,3.0,2.0,263.356651250425,2,0
4,765000.0,1.0,2.0,176.73950661335894,2,0
4,900000.0,2.0,3.0,146.0,2,0
2,1275000.0,1.0,0.0,82.0,4,0
2,1455000.0,1.0,0.0,77.53939266078314,4,0
3,2850000.0,2.0,0.0,198.0,4,0
3,1850000.0,2.0,0.0,133.0,4,0
2,1436000.0,1.0,0.0,81.0,4,0
2,1110000.0,1.0,0.0,77.53939266078314,4,0
2,1550000.0,1.0,1.0,77.53939266078314,4,0
4,2300000.0,2.0,1.0,180.0,4,0
3,1550000.0,2.0,2.0,170.4480219556041,4,1
3,1800000.0,2.0,1.0,159.0,4,0
2,2120000.0,1.0,1.0,107.0,4,0
3,1800000.0,1.0,1.0,127.13944963707104,4,0
3,1800000.0,2.0,1.0,122.0,4,0
2,1810000.0,1.0,0.0,77.53939266078314,4,0
3,2615000.0,2.0,1.0,181.0,4,0
5,2100000.0,2.0,1.0,269.64813590817994,4,0
3,1300000.0,1.0,0.0,127.13944963707104,4,0
3,1370000.0,2.0,2.0,85.0,4,0
2,1000000.0,1.0,0.0,77.53939266078314,4,0
3,2575000.0,2.0,1.0,170.4480219556041,4,0
2,1322500.0,1.0,0.0,98.0,4,0
2,1562500.0,1.0,0.0,83.0,4,0
3,2000000.0,2.0,1.0,147.0,4,0
3,1900000.0,1.0,0.0,127.13944963707104,4,0
3,3010000.0,2.0,0.0,146.0,4,0
4,2800000.0,3.0,1.0,254.0,4,0
2,647000.0,1.0,1.0,77.53939266078314,4,2
3,2100000.0,1.0,1.0,123.0,4,0
3,2000000.0,1.0,1.0,131.0,4,0
1,442500.0,1.0,0.0,34.0,4,2
4,4735000.0,2.0,1.0,207.0,4,0
2,1340000.0,1.0,0.0,77.53939266078314,4,0
3,1801000.0,1.0,1.0,127.13944963707104,4,0
3,1532000.0,3.0,1.0,213.75659427413714,4,0
3,3755000.0,2.0,2.0,170.4480219556041,4,0
4,2140000.0,2.0,1.0,145.0,4,0
2,1750000.0,1.0,1.0,77.53939266078314,4,0
2,980000.0,1.0,0.0,68.0,4,0
3,2030000.0,2.0,0.0,170.4480219556041,4,0
3,1740000.0,2.0,2.0,134.0,4,0
3,2800000.0,3.0,1.0,213.75659427413714,4,0
1,985000.0,1.0,0.0,54.0,4,0
4,2000000.0,2.0,4.0,263.0,6,0
3,1110000.0,2.0,2.0,170.4480219556041,6,0
3,1492000.0,2.0,2.0,170.4480219556041,6,0
4,1717500.0,2.0,1.0,203.0,6,0
5,2840000.0,4.0,4.0,165.0,6,0
2,525500.0,1.0,1.0,60.0,6,2
2,805000.0,2.0,3.0,140.0,6,1
2,465000.0,1.0,1.0,77.53939266078314,6,2
3,2000000.0,3.0,2.0,213.75659427413714,6,0
3,1540000.0,1.0,2.0,127.13944963707104,6,0
2,820000.0,1.0,1.0,77.53939266078314,6,2
4,1830000.0,2.0,2.0,112.0,6,0
4,2100000.0,2.0,2.0,271.0,6,0
3,865000.0,1.0,1.0,131.0,6,0
2,390000.0,1.0,1.0,60.0,6,2
2,650000.0,1.0,0.0,77.53939266078314,6,1
2,512000.0,1.0,1.0,61.0,6,2
3,1165000.0,1.0,2.0,127.13944963707104,6,0
4,1900000.0,2.0,2.0,272.0,6,0
3,1485000.0,0.0,0.0,83.83087731853797,6,0
4,1950000.0,2.0,3.0,210.0,6,0
3,520000.0,2.0,1.0,242.0,7,0
5,1525000.0,3.0,3.0,268.0,7,0
2,720000.0,1.0,2.0,125.0,7,1
3,1120000.0,1.0,2.0,120.0,7,0
4,780000.0,1.0,4.0,176.73950661335894,7,0
4,1780000.0,3.0,6.0,220.0,7,0
3,630000.0,1.0,2.0,94.0,7,2
2,406000.0,1.0,1.0,77.53939266078314,7,2
3,660000.0,1.0,1.0,123.0,7,0
3,683500.0,1.0,1.0,127.13944963707104,7,0
2,580000.0,1.0,1.0,93.0,7,2
3,1335000.0,1.0,4.0,22.0,7,0
3,800000.0,2.0,2.0,170.4480219556041,7,1
2,510000.0,1.0,1.0,76.0,7,2
4,1070000.0,2.0,2.0,220.04807893189198,7,0
2,425000.0,1.0,2.0,57.0,7,2
3,605000.0,2.0,2.0,170.4480219556041,7,2
3,705000.0,2.0,2.0,152.0,7,1
2,391000.0,1.0,1.0,65.0,7,2
2,440000.0,1.0,1.0,77.53939266078314,7,2
4,845000.0,1.0,2.0,130.0,7,0
3,743000.0,2.0,2.0,176.0,7,1
3,730000.0,2.0,1.0,141.0,7,2
3,635000.0,1.0,4.0,127.13944963707104,7,0
2,620000.0,1.0,1.0,77.53939266078314,7,2
2,447000.0,1.0,1.0,77.0,7,2
3,730000.0,2.0,1.0,170.4480219556041,7,2
3,678000.0,1.0,2.0,87.0,7,0
2,580000.0,2.0,1.0,76.0,7,2
3,712000.0,1.0,2.0,127.13944963707104,7,0
3,840000.0,2.0,2.0,136.0,7,0
3,980000.0,1.0,2.0,127.13944963707104,7,0
3,605100.0,2.0,0.0,170.4480219556041,7,1
3,880000.0,3.0,1.0,213.75659427413714,7,0
3,577000.0,2.0,1.0,113.0,7,2
4,1030000.0,1.0,0.0,176.73950661335894,7,0
3,605000.0,1.0,2.0,127.13944963707104,7,2
3,753000.0,2.0,2.0,170.4480219556041,7,0
2,857000.0,2.0,1.0,100.0,7,0
3,1500000.0,1.0,1.0,127.13944963707104,7,0
3,730000.0,2.0,1.0,3.0,7,2
3,900000.0,1.0,4.0,127.13944963707104,7,0
3,740000.0,1.0,2.0,127.13944963707104,7,0
4,931000.0,2.0,3.0,220.04807893189198,7,0
2,535600.0,1.0,1.0,91.0,7,0
5,1085000.0,3.0,6.0,251.0,9,0
3,781000.0,1.0,2.0,117.0,9,0
3,750000.0,1.0,3.0,127.13944963707104,9,0
2,421000.0,1.0,1.0,77.0,9,1
3,1405000.0,1.0,3.0,127.13944963707104,9,0
3,683000.0,1.0,2.0,167.0,9,0
3,623000.0,1.0,3.0,127.13944963707104,9,0
3,720000.0,2.0,1.0,130.0,9,0
3,588000.0,1.0,1.0,118.0,9,0
3,710000.0,1.0,3.0,116.0,9,0
4,875000.0,1.0,4.0,169.0,9,0
3,700000.0,1.0,3.0,127.13944963707104,9,0
2,640000.0,1.0,1.0,77.53939266078314,9,1
4,650000.0,1.0,4.0,176.73950661335894,9,0
3,675000.0,2.0,2.0,109.0,9,0
3,708000.0,1.0,2.0,97.0,9,0
4,965000.0,1.0,4.0,176.73950661335894,9,0
3,680000.0,1.0,3.0,127.13944963707104,9,0
3,770000.0,1.0,3.0,603.0,9,0
3,923000.0,1.0,2.0,127.13944963707104,9,0
4,693000.0,2.0,4.0,170.0,9,0
3,620000.0,2.0,2.0,100.0,9,0
3,728500.0,1.0,1.0,157.0,9,0
3,931000.0,2.0,1.0,160.0,9,0
3,988000.0,1.0,4.0,127.13944963707104,9,0
3,590000.0,1.0,2.0,127.13944963707104,9,0
2,610000.0,1.0,2.0,77.53939266078314,9,0
3,815000.0,2.0,3.0,130.0,9,0
4,970000.0,1.0,2.0,176.73950661335894,9,0
4,760000.0,1.0,3.0,176.73950661335894,9,0
4,847500.0,3.0,1.0,263.356651250425,9,1
4,1200000.0,1.0,4.0,158.0,9,0
3,700000.0,1.0,1.0,127.13944963707104,9,0
3,625000.0,1.0,1.0,127.13944963707104,9,0
2,292000.0,1.0,1.0,70.0,9,2
2,599000.0,1.0,1.0,76.0,11,2
2,550000.0,1.0,0.0,77.53939266078314,11,2
3,995000.0,2.0,2.0,100.0,11,2
3,1205000.0,2.0,2.0,105.0,11,1
3,1939000.0,2.0,2.0,150.0,11,0
1,421500.0,1.0,0.0,27.939335684495248,11,2
3,1870000.0,1.0,1.0,116.0,11,0
2,678000.0,1.0,2.0,77.53939266078314,11,2
3,1918000.0,2.0,2.0,165.0,11,1
2,660000.0,1.0,1.0,77.53939266078314,11,2
3,2050000.0,2.0,1.0,116.0,11,0
2,700000.0,1.0,2.0,77.53939266078314,11,2
2,3625000.0,2.0,2.0,120.8479649793162,11,2
4,3000000.0,2.0,2.0,220.04807893189198,11,0
5,1525000.0,2.0,2.0,269.64813590817994,11,0
3,735000.0,2.0,1.0,14.0,11,2
2,825000.0,1.0,1.0,77.53939266078314,11,2
3,1586000.0,2.0,2.0,170.4480219556041,11,1
2,645000.0,1.0,1.0,77.53939266078314,11,2
1,1435000.0,2.0,1.0,107.0,11,0
1,280000.0,1.0,1.0,38.0,11,2
1,400000.0,1.0,1.0,27.939335684495248,11,2
2,1780000.0,2.0,2.0,120.8479649793162,11,0
2,592500.0,1.0,1.0,73.0,11,2
2,1210000.0,1.0,0.0,96.0,11,0
4,2801000.0,2.0,2.0,222.0,11,0
1,390000.0,1.0,0.0,27.939335684495248,11,2
3,1800000.0,2.0,2.0,121.0,11,0
4,2200000.0,1.0,2.0,163.0,11,0
1,324000.0,1.0,1.0,27.939335684495248,11,2
6,5525000.0,3.0,4.0,516.0,11,0
2,1125000.0,1.0,2.0,77.53939266078314,11,0
3,2250000.0,3.0,1.0,213.75659427413714,11,0
3,2360000.0,2.0,0.0,170.4480219556041,11,0
2,1900000.0,2.0,0.0,120.8479649793162,11,0
1,440000.0,1.0,1.0,53.0,11,2
2,490000.0,1.0,1.0,77.53939266078314,11,2
3,2365000.0,2.0,1.0,170.4480219556041,11,0
3,1300000.0,1.0,2.0,106.0,11,0
3,732000.0,2.0,2.0,170.4480219556041,11,2
2,704000.0,1.0,1.0,74.0,11,2
2,620000.0,1.0,1.0,98.0,11,2
3,1900000.0,1.0,2.0,108.0,11,0
1,315000.0,1.0,1.0,27.939335684495248,11,2
1,450000.0,1.0,1.0,27.939335684495248,11,2
2,710000.0,1.0,1.0,80.0,11,2
2,872000.0,1.0,1.0,77.53939266078314,11,2
2,598000.0,1.0,1.0,88.0,11,2
3,1285000.0,1.0,2.0,80.0,11,0
4,3660000.0,3.0,2.0,263.356651250425,11,0
2,520000.0,1.0,1.0,76.0,11,2
4,3625000.0,1.0,2.0,251.0,11,0
4,4200000.0,3.0,3.0,333.0,11,0
3,1101000.0,1.0,2.0,3.0,11,1
3,3512500.0,2.0,2.0,285.0,11,0
4,2000000.0,3.0,4.0,263.356651250425,11,0
3,869000.0,1.0,1.0,91.0,11,2
5,2810000.0,2.0,2.0,269.64813590817994,11,0
2,565000.0,1.0,1.0,77.53939266078314,11,2
1,567000.0,1.0,1.0,53.0,11,2
2,546000.0,0.0,0.0,34.230820342250084,11,2
2,471500.0,1.0,1.0,77.53939266078314,11,2
2,455000.0,1.0,2.0,77.53939266078314,12,2
3,940000.0,1.0,2.0,108.0,12,0
2,467000.0,1.0,1.0,62.0,12,2
3,1380000.0,2.0,2.0,174.0,12,0
2,490000.0,1.0,1.0,62.0,12,2
4,1850000.0,3.0,1.0,270.0,12,0
3,1284000.0,1.0,2.0,127.13944963707104,12,0
3,971000.0,2.0,2.0,128.0,12,0
2,710000.0,1.0,1.0,77.0,12,0
6,2425000.0,3.0,2.0,435.0,12,0
2,750000.0,1.0,1.0,92.0,12,0
2,1053000.0,1.0,1.0,109.0,12,0
3,1377000.0,1.0,1.0,168.0,12,0
3,970000.0,1.0,2.0,125.0,12,0
2,940000.0,1.0,1.0,77.53939266078314,12,0
2,751000.0,1.0,1.0,79.0,12,0
